Tigray,North West Tigray,Central Tigray,Eastern Tigray,Southern Tigray,Western Tigray,,,,,,,,,,,,,,,,
Afar,Zone 1,Zone 3,,,,,,,,,,,,,,,,,,,
Amhara,North Gonder,South Gonder,North Wolo,South Wolo,North Shewa,East Gojam,West Gojam,Waghamera,Awi,Oromia,Argoba Special,,,,,,,,,,
Oromia,West Wellega,East Wellega,Illubabor,Jimma,West Shewa,North Shewa,East Shewa,Arsi,West Harerghe,East Harerghe,Bale,Borena,South West Shewa,Guji,West Arsi,Kelem Wellega,Horoguduru Wellega,,,,
Somale,Shinele,Jijiga,Liben,,,,,,,,,,,,,,,,,,
Benshangul-Gumuz,Metekel,Asosa,Kemeshi,Pawe Special,Mao Komo,,,,,,,,,,,,,,,,
SNNP,Gurage,Hadiya,Kembata Tembaro,Sidama,Gedio,Wolayita,South Omo,Shaka,Kaffa,Gamo Gofa,Bench Maji,Yem Sp. Wereda,Amaro Sp. Wereda,Burji Sp. Wereda,Konso Sp. Wereda,Derashe Sp. Wereda,Dawro,Basketo Sp. Wereda,Konta Sp. Wereda,Silte,Alaba Sp. Wereda
Gambela Region,Angnuwak,Nuware,Mezhenger,Itang Special,,,,,,,,,,,,,,,,,
Harari,Hundene,,,,,,,,,,,,,,,,,,,,
Dire Dawa,,,,,,,,,,,,,,,,,,,,,
