Region,Zone,ALL Holding,Holding With No Cattle,1-2 Head,3-4 Head,5-9 Head,10-19 Head,20-49 Head
Somale,Liben,205428,107125,19502,24264,29929,14552,8347
Somale,Nogob,1520,395,42,51,101,299,403
Somale,Dawa,17319,6079,1476,1755,2502,3180,1673
Benshangul-Gumuz,,209442,118167,22468,18269,29901,15286,5351
Benshangul-Gumuz,Metekel,69460,53948,5006,3717,5073,1553,163
Benshangul-Gumuz,Asosa,88132,23838,12703,12384,20792,13375,5040
Benshangul-Gumuz,Kemeshi,44524,35379,3807,1546,3402,242,148
Benshangul-Gumuz,Mao Komo,7326,5001,952,623,634,116,0
SNNP,,3967785,836908,1318344,1083693,630886,75578,18519
SNNP,Gurage,310979,34492,93579,104456,75252,3200,0
SNNP,Hadiya,309633,25286,107633,112887,61295,2532,0
SNNP,Kembata Tembaro,158929,20817,61727,58109,18276,0,0
SNNP,Sidama,1054431,252115,428005,255897,106536,10857,1021
SNNP,Gedeo,209121,152772,41639,9695,4370,645,0
SNNP,Welayta,354114,51183,137778,121188,42461,987,517
SNNP,Debub Omo,122315,38744,24238,15756,21621,9056,9043
SNNP,Sheka,61348,22852,17218,10888,7750,2429,211
SNNP,Kefa,233719,28320,50408,65924,70019,16977,2071
SNNP,Gamo Gofa,429012,72843,133801,124917,80536,13835,3080
SNNP,Bench Maji,119256,32251,29346,26938,27403,3122,196
SNNP,Yem Liyu,21351,3253,3824,6904,6992,378,0
SNNP,Segen Akababi Hizboch,149990,44346,44552,27635,26739,4753,1965
SNNP,Alaba Special,61302,9965,20462,17485,11743,1479,168
SNNP,Dawro,78795,6879,18036,23254,26230,4149,247
SNNP,Basketo Special,20771,5452,6977,4526,3435,381,0
SNNP,Konta Liyu,31529,3455,7360,10371,9969,374,0
SNNP,Silite,241192,31882,91763,86864,30258,425,0
Gambela region,,54454,26544,6009,3553,5028,7711,4927
Gambela region,Agnuwak,6630,4942,641,621,296,130,0
Gambela region,Nuware,21100,3038,631,1082,4104,7115,4526
Gambela region,Mezhenger,22987,16066,4668,1811,395,47,0
Gambela region,Itang Special,3736,2496,69,39,233,419,402
Harari,,51461,22532,18943,7775,2117,94,0
Harari,Harari,51461,22532,18943,7775,2117,94,0
Dire Dawa Astedader,,43936,17671,14742,8892,2631,0,0
Dire Dawa Astedader,Dire Dawa,43936,17671,14742,8892,2631,0,0
