Region,Zone,ALL Holding,Holding With No Cattle,1-2 Head,3-4 Head,5-9 Head,10-19 Head,20-49 Head
Ethiopia,,18452999,4313898,4817176,4499849,3720606,880488,197725
Tigray,,1480125,378561,322217,393112,307809,67085,11127
Tigray,Semen Mirab,503697,129274,92158,101591,140843,34575,5256
Tigray,Mehakelawi,301914,75516,78399,105393,42606,0,0
Tigray,Misrakawi,201123,57871,53067,61326,27542,1317,0
Tigray,Debubawi,135309,35475,32063,36537,27958,3276,0
Tigray,Mirabawi,139224,31754,15577,25266,34757,26044,5612
Tigray,Debub Misrak,198858,48669,50954,62999,34104,1873,259
Afar,,370367,202608,22510,25007,51592,35172,31603
Afar,Zone_1 (Awsiresu),191442,103201,13049,13029,29968,16984,14386
Afar,Zone_2 (Kelbetiresu),79706,68456,4357,3058,2293,888,654
Afar,Zone_3 (Gebiresu),52092,12252,1989,3968,11561,11289,10251
Afar,Zone_4 (Fentiresu),20319,12416,1707,1787,2119,1379,797
Afar,Zone_5 (Hariresu),26808,6282,1408,3165,5651,4632,5516
Amhara,,4970236,973605,1354050,1375980,1068334,173656,23890
Amhara,Semen Gonder,280564,58762,103964,67989,41082,7966,801
Amhara,Debub Gonder,561577,78018,155650,182854,135296,9759,0
Amhara,Semen Wello,359927,62052,131137,116463,48569,1706,0
Amhara,Debub Wello,755959,162369,244218,253265,90000,6107,0
Amhara,Semen Shewa,570119,118374,165898,171836,111838,2173,0
Amhara,Misrak Gojjam,617526,123961,171277,137835,152749,28945,2759
Amhara,Mirab Gojjam,691537,142656,144805,169173,196502,38401,0
Amhara,Waghimra,142817,29872,46555,35932,26214,4067,177
Amhara,Awi,252143,53074,41862,51032,78451,23961,3763
Amhara,Oromiya Liyu Zone,118061,41767,28595,25810,18075,2731,975
Amhara,Maekelawi Gonder,576803,90507,116518,158319,161488,38820,11151
Amhara,Mirab Gonder,43203,12191,3571,5474,8071,9022,4262
Oromia,,6727873,1453436,1695665,1527764,1548982,443333,54354
Oromia,Mirab Wollega,289233,88275,63326,48620,55886,27283,5843
Oromia,Misrak Wollega,227841,57721,44476,40758,50883,30077,3926
Oromia,Ilu Ababor,269980,76154,56171,53816,67602,16237,0
Oromia,Jimma,677412,112460,175681,198520,156785,32431,1535
Oromia,Mirab Shewa,535846,124183,105187,111293,139598,51689,3896
Oromia,Semen Shewa,330012,50128,81620,80872,98488,18358,546
Oromia,Misrak Shewa,269962,54959,64077,66238,63547,17654,3109
Oromia,Arsi,735855,120198,173758,172203,225908,42609,1179
Oromia,Mirab Hararghe,412404,76635,161478,113876,52771,6676,968
Oromia,Mierak Hararge,560298,125274,257361,136044,37169,4450,0
Oromia,Bale,333389,47984,53274,80048,113501,32798,5784
Oromia,Borena,63841,8031,7522,7313,15064,12233,10987
Oromia,Debub Mirab Shewa,299070,49354,81376,72901,78300,15503,1636
Oromia,Guji,355636,64385,95306,88072,79453,25015,2669
Oromia,Mirab Guji,258933,143345,49212,36412,23057,6298,609
Oromia,Oromiya Liyu Zone,202684,46455,33889,39499,63024,18264,1553
Oromia,Mirab Arsi,454511,78760,103543,93776,121377,50843,5676
Oromia,Kelem Wollega,228066,79046,55873,44284,44604,4259,0
Oromia,Horo Guduru Wollega,128130,35012,16731,21455,30267,20523,4142
Oromia,Buno Bedele,94770,15076,15806,21764,31697,10132,295
Somale,,577319,283869,42226,55803,73326,62572,47955
Somale,Siti,26146,17088,3633,2630,2119,574,102
Somale,Fafan,60568,17597,3622,6616,14547,12999,4848
Somale,Jerer,68952,58271,400,1918,2232,3107,1864
Somale,Erer,20542,2537,315,942,2099,4016,7376
Somale,Korahe,14353,5804,192,325,480,1350,5186
Somale,Shebele,52132,16081,3297,4735,6723,9083,10673
Somale,Dollo,15655,13792,277,253,0,131,1062
Somale,Afder,94703,39097,9471,12314,12594,13282,6420
